Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-09-24,42877.955600024,44904.8537381324,45095.7846468764,40763.4203195086
BTC,2021-09-25,42771.9279978397,42858.9030095588,43007.4429785497,41721.1129275651
BTC,2021-09-26,43572.0848860775,42720.9285420871,43938.8330843996,41117.4001897889
BTC,2021-09-27,43136.5805125988,43198.4468193768,44355.9323689635,42631.8584302963
BTC,2021-09-28,41734.5711192498,42179.2102018768,42783.1230881941,41143.3726300594
BTC,2021-09-29,41412.6147362048,41046.6493068011,42582.5920583951,40796.8482167821
BTC,2021-09-30,43718.377746744,41527.4427303556,44093.2170175984,41423.6648325492
BTC,2021-10-01,47797.7040332651,43826.9880658115,48456.2213232386,43326.0873483993
BTC,2021-10-02,48083.4372555603,48144.8766353735,48254.3148019872,47487.3160370319
BTC,2021-10-03,48085.0479809108,47630.9500048045,49143.3154039038,47224.2755113479
BTC,2021-10-04,48794.2102381457,48212.4744766274,49463.2813271806,46959.1571375727
BTC,2021-10-05,51459.0928209095,49225.6841341303,51886.0740407436,49054.1815272387
BTC,2021-10-06,55029.8743189991,51480.0412668235,55321.7624962981,50419.064461566
BTC,2021-10-07,53770.2770584066,55297.0493431712,55306.1997567098,53366.5149081607
BTC,2021-10-08,54203.2983143898,53761.7174403129,56049.816899304,53626.7108828998
BTC,2021-10-09,54854.8764569752,53941.9974708959,55360.2007757058,53683.3507373893
BTC,2021-10-10,54712.7211663833,54939.7172995794,56499.127683063,54116.6985784441
BTC,2021-10-11,57284.9213859839,54685.8194765266,57759.9976811266,54448.0870588956
BTC,2021-10-12,56304.2388376736,57476.4597671874,57647.6482963824,54021.9878459414
BTC,2021-10-13,57517.1244758226,56008.8781374632,57748.0195366182,54264.6075887199
BTC,2021-10-14,57559.064442077,57359.9948148498,58502.5724317484,56857.1496244216
BTC,2021-10-15,61273.805275885,57353.2973000804,62839.7385285075,56865.621287123
BTC,2021-10-16,60744.9849380446,61648.2857988657,62298.8485212637,60101.3111774342
BTC,2021-10-17,60965.4654336171,60824.3635863548,61375.7033743685,59003.0965938733
BTC,2021-10-18,61707.4813118213,61510.5569359222,62638.56190862,59909.3299776607
BTC,2021-10-19,63901.0730802098,62019.5300284928,64329.9374113266,61417.0575484843
BTC,2021-10-20,65972.8631297649,64281.3426314063,66915.5004368268,63603.1650322609
BTC,2021-10-21,62603.5750699116,65986.2449207078,66635.4664084668,62290.325375543
BTC,2021-10-22,60689.2382648626,62192.2329025395,63717.1689466945,60033.9280379339
BTC,2021-10-23,61124.3471256221,60692.6091169917,61733.585204734,59694.0504343142
BTC,2021-10-24,60936.1508514192,61304.7903545146,61490.0951497386,59553.0278846757
BTC,2021-10-25,63004.3811146675,60860.0326551389,63661.9251801311,60656.5618252439
BTC,2021-10-26,60399.73493255,63080.305703448,63276.5478458148,59925.1261161323
BTC,2021-10-27,58602.202535179,60329.9387397764,61486.4274481539,58108.9111682768
BTC,2021-10-28,60619.2669441898,58476.184713536,62450.034023188,57965.3110218085
BTC,2021-10-29,62302.7050917453,60600.419444699,62979.1282475937,60239.0302036681
BTC,2021-10-30,61342.6015513088,62251.2434899195,62356.987742541,60796.3714337843
BTC,2021-10-31,61374.2783733446,61896.533332079,62426.3663347572,60007.9033336699
BTC,2021-11-01,61200.2257518147,61348.1708243114,62331.4299049771,59520.5050661565
